,,,% Change Over Previous Year,,,,,,,,,,,,,,
Store Type,Metric,Includes Online Sales,Sep '17,Oct '17,Nov '17,Dec '17,Jan '18,Feb '18,Six months to Feb '18,Mar '18,Apr '18,May '18,Jun '18,Jul '18,Aug '18,Six months to  Aug '18,Year to Aug '18
Same Stores,Net Sales,1,106.3,108.9,108.9,118.1,97.6,105.1,108.4,113.0,110.0,97.3,96.0,99.7,108.8,103.3,106.2
Same Stores,Customer Numbers,1,103.9,105.0,104.6,113.5,95.0,100.2,104.2,107.7,104.7,93.1,92.5,96.7,103.7,98.8,101.7
Same Stores,Average Purchase per Customer,1,102.3,103.8,104.2,104.0,102.6,104.8,104.0,104.9,105.1,104.5,103.8,103.1,104.9,104.5,104.4
Directly-Run Stores,Net Sales,0,105.5,106.4,108.1,115.6,95.8,104.6,106.8,112.6,108.4,94.7,95.3,98.1,107.4,101.8,104.6
Directly-Run Stores,Customer Numbers,0,103.8,103.5,104.0,112.2,93.7,100.3,103.3,108.0,103.7,91.4,91.7,95.4,102.4,97.8,100.7
Directly-Run Stores,Average Purchase per Customer,0,101.6,102.8,104.0,103.0,102.2,104.3,103.3,104.2,104.6,103.6,103.9,102.9,104.8,104.1,103.9
Directly-Run Stores,Net Sales,1,106.9,108.9,108.8,118.1,97.7,105.9,108.5,114.1,110.5,97.5,96.4,100.0,109.1,103.7,106.4
Directly-Run Stores,Customer Numbers,1,103.9,105.1,104.4,113.6,95.2,101.1,104.4,108.8,105.3,93.5,93.0,97.1,104.1,99.4,102.0
Directly-Run Stores,Average Purchase per Customer,1,102.9,103.7,104.2,104.0,102.6,104.8,104.0,104.8,104.9,104.3,103.7,103.0,104.8,104.4,104.4
